event_category,event_type
OneTrust Cookie Consent,optin
Scroll Depth,
Time on site,
Newsletter,newsletter
External link,
Tickets - Primary CTAs,
Set musical,
Video,
Cookie Consent Data,optin
Search API,
Top Nav,
Site Engagement,
Gift Card CTAs,
Phone Number,
Ecommerce,ecommerce
Content Button,
Notice,
Calendar,
External Link,
Audio,
4er Nav,
grid-card,
Social Media Link,
404 Error,
Tickets - Secondary CTAs,
Search API (Homepage or Showpage),
Filters Used,
Open Card,
Chat,
Social Sharing,
Downloads,
nieuwsbrief,newsletter
Social Tracking,
Promo Code Added,
Social Follow,
E-Mail,
Search API (Showpages),
Notification,
Header CTA,
Shop,
Slider Nav,
Upsell - Buy Music,
Button - Externe Dienstleister,
E-mail link,
Press Documents,
Shopping Behaviour,
